[Deoxys WARNING] 2024-08-09 21:02:50,450 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:03:21,958 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:04:55,910 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:25:28,758 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:25:55,906 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:26:08,946 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:32:16,715 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:32:29,915 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:33:59,706 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:34:11,317 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:34:41,334 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:36:12,517 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:36:30,538 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:36:59,898 - Robot state not received
[Deoxys WARNING] 2024-08-09 21:37:17,123 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:32:41,025 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:32:58,975 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:33:13,072 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:35:38,114 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:36:13,650 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:38:10,223 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:38:27,829 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:41:21,249 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:41:52,897 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:42:57,565 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:43:41,275 - Robot state not received
[Deoxys WARNING] 2024-08-11 17:52:04,982 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:07:31,121 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:09:15,427 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:12:35,142 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:14:42,942 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:15:00,505 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:15:14,182 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:29:46,786 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:30:02,258 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:34:52,760 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:35:06,294 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:35:25,727 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:37:00,313 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:37:29,662 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:37:44,323 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:42:08,252 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:44:31,772 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:45:30,052 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:47:56,410 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:49:21,413 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:50:13,138 - Robot state not received
[Deoxys WARNING] 2024-08-11 18:59:47,315 - Robot state not received
[Deoxys WARNING] 2024-08-11 19:00:52,183 - Robot state not received
[Deoxys WARNING] 2024-08-11 19:01:49,889 - Robot state not received
[Deoxys WARNING] 2024-08-13 15:59:32,599 - Robot state not received
[Deoxys WARNING] 2024-08-13 15:59:46,741 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:00:00,694 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:00:12,692 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:01:07,735 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:03:16,499 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:03:30,171 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:03:46,626 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:04:07,259 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:16:40,279 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:17:43,547 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:20:33,214 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:20:49,823 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:52:57,514 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:55:40,638 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:56:08,275 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:56:32,839 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:56:44,721 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:56:58,929 - Robot state not received
[Deoxys WARNING] 2024-08-13 16:59:00,643 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:01:46,664 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:02:01,538 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:05:58,358 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:06:11,676 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:06:26,207 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:06:39,412 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:23:07,408 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:23:20,756 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:23:32,971 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:23:48,602 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:24:27,723 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:24:45,952 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:25:03,643 - Robot state not received
[Deoxys WARNING] 2024-08-13 17:25:15,683 - Robot state not received
