Joint 1 Position
"[0.10821603480268548, 0.750174827937794, 0.045663412168468136, -2.0718031080051977, 0.12561809196463608, 4.422496560998951, 0.6668731657865083]"
"[0.10851686383987191, 0.7502135872811869, 0.04597684160467823, -2.0715215427002507, 0.1254990082283692, 4.422482312607257, 0.6665849668732584]"
"[0.10851686383987191, 0.7502135872811869, 0.04597684160467823, -2.0715215427002507, 0.1254990082283692, 4.422482312607257, 0.6665849668732584]"
"[0.10873301295952129, 0.7502185093215533, 0.04612717070059716, -2.0714214665946145, 0.12552214401759407, 4.422476256261411, 0.6664104638267634]"
"[0.10891538590152756, 0.7502273862323358, 0.04623480917709991, -2.0713439601518884, 0.12559917771221032, 4.42246483732671, 0.6662064370725036]"
"[0.11174558198912098, 0.7507546358785843, 0.04744279409787517, -2.0703463963132656, 0.12727820216042107, 4.4220479544791615, 0.663973325684055]"
"[0.11174558198912098, 0.7507546358785843, 0.04744279409787517, -2.0703463963132656, 0.12727820216042107, 4.4220479544791615, 0.663973325684055]"
"[0.11205242043110214, 0.7507934632441667, 0.04754894793105749, -2.0702516991351714, 0.12754704951145474, 4.422043186557757, 0.6637414782356906]"
"[0.11235081978809655, 0.7508281875884345, 0.047672952448868024, -2.0701498097274604, 0.12785661819270402, 4.422035295727434, 0.6635418609538493]"
"[0.1154299999837456, 0.7511946611164134, 0.048881997579262336, -2.0691186684897453, 0.13225500576291946, 4.4215460439173615, 0.6613383692758921]"
"[0.1154299999837456, 0.7511946611164134, 0.048881997579262336, -2.0691186684897453, 0.13225500576291946, 4.4215460439173615, 0.6613383692758921]"
"[0.11567887521073308, 0.7511920041207497, 0.04899014259425262, -2.0690291257572717, 0.13269741581525754, 4.421544074104399, 0.6611427067514347]"
"[0.115737574088217, 0.7511998830126437, 0.04900253677730854, -2.068996407059183, 0.13282985126378455, 4.4215450832850465, 0.6610992074676519]"
"[0.115737574088217, 0.7511998830126437, 0.04900253677730854, -2.068996407059183, 0.13282985126378455, 4.4215450832850465, 0.6610992074676519]"
"[0.115737574088217, 0.7511998830126437, 0.04900253677730854, -2.068996407059183, 0.13282985126378455, 4.4215450832850465, 0.6610992074676519]"
"[0.115737574088217, 0.7511998830126437, 0.04900253677730854, -2.068996407059183, 0.13282985126378455, 4.4215450832850465, 0.6610992074676519]"
"[0.115737574088217, 0.7511998830126437, 0.04900253677730854, -2.068996407059183, 0.13282985126378455, 4.4215450832850465, 0.6610992074676519]"
"[0.115737574088217, 0.7511998830126437, 0.04900253677730854, -2.068996407059183, 0.13282985126378455, 4.4215450832850465, 0.6610992074676519]"
