Joint 1 Position
"[-0.08921811156751216, 0.8880943071550945, -0.060426953631508074, -2.0302511727452295, -0.12421043441487804, 4.5130568203180506, 0.8204200295867611]"
"[-0.08922179480909158, 0.8880911286408858, -0.060436486985823205, -2.030249390394858, -0.12421043928088371, 4.51305514386314, 0.8204217733118767]"
"[-0.08922179480909158, 0.8880911286408858, -0.060436486985823205, -2.030249390394858, -0.12421043928088371, 4.51305514386314, 0.8204217733118767]"
"[-0.0892068165083974, 0.8881007212018768, -0.060440774923777335, -2.030268297933986, -0.12430614880628915, 4.512958825755259, 0.8204356450069966]"
"[-0.08918857718506874, 0.8882079819225612, -0.060430034021375256, -2.0302857994812142, -0.12431062715721454, 4.51290218785326, 0.8204432310205785]"
"[-0.08919302509415575, 0.8883643169304581, -0.06043008939330975, -2.0302919184653634, -0.12429934068886572, 4.51290577004058, 0.8204450567186586]"
"[-0.0891989075260277, 0.8885210811073979, -0.06042363751538045, -2.03021133113633, -0.12426132422578078, 4.513319035574416, 0.8204292800307547]"
"[-0.08920543304671452, 0.8888214100340049, -0.06040694463572311, -2.0296478491529526, -0.12421180479662752, 4.513977225670437, 0.8203911376191004]"
"[-0.08922247143176615, 0.8892464128725105, -0.06039480181291596, -2.0287706216910664, -0.12412761902738065, 4.514700923024516, 0.8202573542676193]"
"[-0.08924449109862206, 0.8898982229392766, -0.060362009278554285, -2.0276985160493184, -0.12402174536194784, 4.515392332464145, 0.8201488884767035]"
"[-0.08925099305097897, 0.8903194367199121, -0.06032053423322175, -2.027107160864995, -0.12397635983891296, 4.515755338560167, 0.8201160073067414]"
"[-0.0892482802364086, 0.8903740307335194, -0.060278310489886376, -2.0269998234450624, -0.12396130860650362, 4.515820205946129, 0.8201010818720265]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
"[-0.08924804292519163, 0.8903772993692265, -0.060277604213667624, -2.0269870750802985, -0.12396242453637439, 4.51582684479838, 0.8200967702313224]"
